instance,batch,no_skill_primal,primal_skill_primal,no_skill_dual,dual_gurobi_strongest,dual_independent_certified,primal_method,dual_method,primal_evidence,dual_evidence,primal_row_tolerance,primal_integrality_tolerance,primal_max_row_violation,primal_max_integrality_violation,primal_max_bound_violation,dual_exact_closure,primal_outcome,primal_tolerance_accepted,primal_raw_outcome,dual_outcome,selected_primal,primal_source,selected_dual,dual_source,excluded_primal_candidates,gap,baseline_gap,gap_outcome,gap_reduction_pp,direct_gap,direct_gap_outcome,direct_gap_reduction_pp,copt_primal,copt_dual,copt_gap,copt_gap_outcome,copt_gap_reduction_pp,copt_result,copt_runtime_seconds,direct_feasibility_win,copt_feasibility_win,solver_primal,solver_dual,solver_primal_source,solver_dual_source,solver_gap,solver_feasibility_win,solver_gap_reduction_pp,solver_gap_outcome,ai_portfolio_primal_outcome,ai_portfolio_dual_outcome,ai_primal_skill_outcome,ai_dual_skill_outcome,solver_portfolio_primal_outcome,solver_portfolio_dual_outcome,solver_primal_skill_outcome,solver_dual_skill_outcome
ns1856153,3,34.16347439886857,34.01697312588409,0.003362513402564,32.6971654879775,11.224893917963225,coupled_flow_tree_placement_master;dependency_closed_multi_coordinate_LNS;full_original_RINS_diversification;integer_pattern_continuous_recourse;matrix_proved_compact_gate_core;perspective_forest_tree_placement_master;spanning_tree_exchange_original_LP;warm_original_primal_baseline,"exact projection from staged Boolean connectivity to undirected cutsets; branch-and-cut on the all-cutset model; exact cluster contraction, spanning-tree enumeration, and matching certificate",numerical,numerical Gurobi bound on an independently verified exact-equivalent all-cutset connectivity projection; exact 7936/707 combinatorial certificate tracked separately,1e-06,1e-06,1.7763568394002505e-15,0.0,0.0,false,win,False,win,win,34.01697312588409,primal skill,32.6971654879775,dual skill Gurobi,[],0.0387985031185013358350637834418308039774162535665526256132568964194569475071283934901372227,0.999901575777589080339031255356392853686095919051080457603924616114185635299730318218078366,win,96.1103072659087744503967471914562049708679665484527831990667719694728687792601924727941143,0.998191817268264330004337081751480635480561324563645013716547302319707601628199741844877912,win,95.9393314149762994169273298309649831503145070997092388103290405900250654121071348354740689,49.1310069,0,1,win,96.1201496881498664164936216558169196022583746433447374386743103580543052492871606509862777,stop,36000.0,False,False,34.943478676096305,0.06318419472889095,Gurobi 150 min,Gurobi 150 min,0.998191817268264330004337081751480635480561324563645013716547302319707601628199741844877912,False,95.9393314149762994169273298309649831503145070997092388103290405900250654121071348354740689,win,win,win,win,win,win,win,win,win
dc1l,3,1758647.6800999984,1758647.6800999984,1749186.534225,1748926.03079,unavailable,bounded_full_original_primal_baseline;crew_cover_connected_replacement;fixed_crew_original_continuous_recourse;forced_crew_cover_original_repair;original_full_norel_crew_diversification;original_full_rins_crew_recombination,exact slack-substitution cover projection; duplicate-column aggregation; sign-valid Lagrangian relaxation; exact 1/100000 objective lattice; validated public cutoff/start,numerical,numerical Gurobi bound on replayed Lagrangian relaxation with exact original-objective lattice rounding,1e-06,1e-06,0.0,0.0,0.0,false,tie,False,tie,loss,1758647.6800999984,primal skill,1748926.03079,dual skill Gurobi,[],0.00552791182679956548316656940120497365702637185536514855360822113550160522180523177922017428,0.00537978469596618132067185589658465730060893652410856239374084429140789902626208584883370923,loss,-0.0148127130833384162494713504620316356417435331256586159867376844093706195543145930386465052,0.00609564813423939372473937292038058967788691229319515357186504967690745119005198025396995492,win,0.0567736307439828241572803519175616020860540437830005018256828541405845968246748474749780637,1760000.09,1751049.95,0.00508530655813773282250229884931426338733880405653842892701215714142378254082930188941069884,loss,-0.0442605268661832660664270551890710269687567798826719626596063994077822680975929889809475445,stop,36000.0,False,False,1760000.09,1751049.95,COPT historical 10h,COPT historical 10h,0.00508530655813773282250229884931426338733880405653842892701215714142378254082930188941069884,False,-0.0442605268661832660664270551890710269687567798826719626596063994077822680975929889809475440,loss,tie,loss,tie,loss,win,loss,win,loss
neos-5221106-oparau,4,52.669999994631496,52.66999999999962,0.0,24.71937119987213,15.11,bottleneck_complete_route_refit;bottleneck_pair_route_exchange;diverse_verified_pool_whole_core_norel;initial_whole_core_norel;whole_core_norel_route_escape;whole_core_primal;whole_core_rins,exact tight-M/service equivalence; route-cost projection; size-2/3/4 subtour cuts; customer-count and demand flows; cheapest-mode aggregation; exact assignment dual; strengthened full-model branch-and-cut,numerical,"global numerical Gurobi bound on an original-equivalent replayed full formulation, kept separate from an exact assignment-dual/lattice certificate",1e-06,1e-06,4.547473508864641e-13,0.0,0.0,false,tie,False,tie,win,52.66999999999962,primal skill,24.71937119987213,dual skill Gurobi,[],0.530674554777438611284048137966058248306292521399930821931994151769742437018752088515778757,1,win,46.9325445222561388715951862033941751693707478600069178068005848230257562981247911484221243,1,win,46.9325445222561388715951862033941751693707478600069178068005848230257562981247911484221243,,0,,win,,stop,36000.0,False,True,61.95999976028899,0.0,Gurobi 150 min,Gurobi 150 min,1,False,46.9325445222561388715951862033941751693707478600069178068005848230257562981247911484221243,win,tie,win,tie,win,win,win,win,win
zeil,4,1081.3585000000078,1081.3584999996644,815.3797428765,817.284526478749,813.5094878037870948029898319960691,fixed_initial_best_integer_continuous_recourse;matrix_exact_positive_part_projection_benders;matrix_exact_positive_part_projection_benders_feasible_incumbent_search;original_NoRel_fallback;original_NoRel_primal_pilot;public_timetable_integer_crossover_difference;public_timetable_recombination_union;semantic_timetable_choice_group_destroy;tight_peak_interval_precedence_connected_LNS;unrestricted_original_NoRel_diversification,cumulative-chain SOS equivalence; continuous and explicit-binary representation probes; exact LP-dual certificates; exact weighted-window closure/min-cut relaxation; bound-focused branch-and-cut,numerical,replay-validated numerical global lower bound on an equivalent chain-SOS formulation,1e-06,1e-06,8.362066594713724e-11,0.0,0.0,false,tie,False,tie,win,1081.3584999996644,primal skill,817.284526478749,dual skill Gurobi,[],0.244205759256525338685372602983804918577475800052133127800352515726921088893533416269842675,0.245967232072902632619607494979200299495069546535828717726394179669371197549562498380194092,win,0.176147281637729393423489199539538091759374648369558992604166394245010865602908211035141742,0.358420297698405378960145380266194089808425801275881264042403805119902353154660336525021046,win,11.4214538441880040274772777282389171230950001223748136242051289392981264261126920255178371,1363.5585,834.502247,0.387996740147195738209985123483884263124757757001258105171138605347698686928356942514750926,win,14.3790980890670399524612520500079344547281956949124977370786089620777598034823526244908251,stop,36000.0,False,False,1282.556499999999,834.502247,Gurobi 150 min,COPT historical 10h,0.349344651093343138758137433589193737770954799413310658013740067833781992247567911263162479,False,10.5138891836817800072764830605388819193478999361177530213387552106860903354034494993319804,win,tie,win,tie,win,win,loss,win,loss
cdma,4,-22966095679999980,-24778478399999984,-31763448000000000,-2.700669263025124e+16,-6.382890200999861e+16,all_original_binary_local_branching_radius_2;all_original_binary_local_branching_radius_32;all_original_binary_local_branching_radius_8;all_original_binary_local_branching_radius_96;cold_original_NoRel_and_primal_search;cold_original_feasibility;external_ID4_rounded_integer_pattern_original_continuous_recourse;full_original_diversification_seed_route;full_original_norel_seed_route;objective_guided_row_closure_LNS_width_1800;objective_guided_row_closure_LNS_width_800;original_row_coupled_binary_LNS;public_diff_closure1000;public_diff_closure2500;public_diff_closure400;public_diff_exact;public_lb16;public_lb192;public_lb64;unrestricted_original_RINS_diversification;unrestricted_original_partition_12_buckets;verified_diverse_253a3665c1b5_181c54207732_closure2000;verified_diverse_253a3665c1b5_181c54207732_closure800;verified_diverse_253a3665c1b5_181c54207732_diff;verified_diverse_253a3665c1b5_181c54207732_lb24;verified_diverse_253a3665c1b5_181c54207732_lb96;verified_diverse_cdaecf089b46_181c54207732_closure2000;verified_diverse_cdaecf089b46_181c54207732_closure800;verified_diverse_cdaecf089b46_181c54207732_diff;verified_diverse_cdaecf089b46_181c54207732_lb24;verified_diverse_cdaecf089b46_181c54207732_lb96;verified_diverse_cfab57f2018e_181c54207732_closure2000;verified_diverse_cfab57f2018e_181c54207732_closure800;verified_diverse_cfab57f2018e_181c54207732_diff;verified_diverse_cfab57f2018e_181c54207732_lb24;verified_diverse_cfab57f2018e_181c54207732_lb96,full original-model baseline; binary and normalized continuous projections; full-feasible-set conservative objective scaling; bound-focused Gurobi trees; exact rational LP-Lagrangian certificate,numerical,numerical Gurobi global bound transferred through an independently verified pointwise objective lower estimator on the identical full feasible set; exact LP-Lagrangian certificate tracked separately,1e-06,1e-06,5.093170329928398e-11,0.0,0.0,false,win,False,win,win,-24778478399999984,primal skill,-2.700669263025124e+16,dual skill Gurobi,[],0.0825060017810306449254587551015101008452620954002258495416381260736834933647055677667795700,0.276964651948365933068727299378833179571688816654917312503352910553035677990626206575558170,win,19.4458650167335288143268544277323078726426721254691462961714784479352184625920638808778600,0.276964249808983940394978457874198189684617818896055497986674077469989273207648289312648882,win,19.4458248027953295469519702772688088839355723495829648445035951396305779842942721545869312,,,,win,,abort,0.1,False,True,-2.296610845333332E+16,-31763447999999988,Gurobi 150 min,Gurobi 150 min,0.276964249808983940394978457874198189684617818896055497986674077469989273207648289312648882,False,19.4458248027953295469519702772688088839355723495829648445035951396305779842942721545869312,win,win,win,win,win,win,win,win,win
ns1456591,4,988.1412834399998,988.1403051801293,473.415027263,988.14128344,988.14128344,clean_fixed_integer_original_continuous_recourse;initial_original_primal_baseline;matrix_proved_multi_route_block_exchange;unrestricted_original_norel_diversification;unrestricted_original_rins_transfer,exact 20-layer symmetry canonicalization; metric route projection; exact reverse/forward Held-Karp route enumeration; exact set-partition DP; integer route-master dual; exact lift to untouched MPS,numerical,exact scaled-integer route-projection dual certificate with matching route partition lifted to the untouched original MPS,1e-06,1e-06,9.89999999978508e-07,9.89999999978508e-07,0.0,true,win,True,win,win,988.14128344,dual skill exact feasible lift,988.14128344,dual skill Gurobi,"[[""988.1403051801293"", ""primal skill""]]",0,0.520903503176278450035305444515220817339732321875556378632972840294506425216307081267962698,win,52.0903503176278450035305444515220817339732321875556378632972840294506425216307081267962698,0.543088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,win,54.3088369957609565359581062056225079964974169020645362641257993572142605192679325522605067,1307.35364,459.574181,0.648469880727910774012148694518493098776242363925341577815165604311928943724821082075390099,win,64.8469880727910774012148694518493098776242363925341577815165604311928943724821082075390099,stop,36000.0,False,False,988.1412834399999,459.574181,Gurobi 150 min,COPT historical 10h,0.534910453897754369782801056264546851772111429611180558460913443483014494151863070045045031,False,53.4910453897754369782801056264546851772111429611180558460913443483014494151863070045045031,win,tie,win,win,win,tie,win,win,win
seqsolve1,5,4279,4277.0,4272,4275.0,3737.0,active_pairday_integer_hour_recourse;fixed_z_active_pair_weekday_recourse;mapping_failed_whole_core_diversification;mapping_failed_whole_core_rins;shortage_site_complete_person_block_11;shortage_site_complete_person_block_13;shortage_site_complete_person_block_14;shortage_site_complete_person_block_15;shortage_site_complete_person_block_16;shortage_site_complete_person_block_17;shortage_site_complete_person_block_2;shortage_site_complete_person_block_24;shortage_site_complete_person_block_27;shortage_site_complete_person_block_3;shortage_site_complete_person_block_32;shortage_site_complete_person_block_4;shortage_site_complete_person_block_8;verified_public_integer_difference_crossover;whole_core_diversification;whole_core_norel;whole_core_norel_between_person_blocks;whole_core_primal_baseline;whole_core_rins,fixed original baseline; exact capacity max-flow/min-cut relaxation; person-z packing; odd-capacity pairday CG and tight-M; person/site day-subset Hall packing; integer-target cutoff exclusion,numerical,numerical_solver_dual_plus_independently_replayed_exact_equivalence_mapping_and_exact_objective_lattice_rounding,1e-06,1e-06,0.0,0.0,0.0,false,win,False,win,win,4277.0,primal skill,4275.0,dual skill Gurobi,[],0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,0.00163589623743865389109605047908389810703435382098621173171301706006076186024772143024071045,win,0.116827874854456925233056064976428155337524697038999943337305914563476232786521032432534922,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,tie,-4.89829319616553659106850596212298339957914425999532382511105915361234510170680383446340893E-92,4371,4268.52039,0.0234453466026080988332189430336307481125600549073438572409059711736444749485243651338366507,win,2.29777291137140141944534532043111315589009480567476449425660132592184754161418540279212894,stop,36000.0,False,False,4277.0,4275.0,Gurobi 150 min,Gurobi 150 min,0.000467617488894084638765489829319616553659106850596212298339957914425999532382511105915361235,False,0E-93,tie,win,win,win,win,tie,tie,tie,tie
stockholm,5,129,122.0,106,106.0,87,active_toll_incident_cluster_destroy;all_public_signature_union;incident_expansion_of_public_differences;matrix_backed_toll_support_combinatorial_benders;matrix_backed_toll_support_local_benders_continuation;official4_positive_support_fixed_continuous_recourse;official4_rounded_binary_fixed_continuous_recourse;original_NoRel_fallback;original_NoRel_primal_pilot;public1_signature_difference;public2_signature_difference;public3_signature_difference;public4_signature_difference;unrestricted_original_NoRel_diversification,original-model cut-focused branch-and-cut; exact same-OD path-cover replay; disjoint packing; iterative integer/fractional cover separation; exact rational cover-LP dual weighting; equivalent full-model strengthening,numerical,replay-validated numerical global lower bound on an untouched/equivalent full model,1e-06,1e-06,1.9761969838327786e-13,0.0,0.0,false,win,False,win,tie,122.0,primal skill,106.0,dual skill Gurobi,[],0.131147540983606557377049180327868852459016393442622950819672131147540983606557377049180328,0.178294573643410852713178294573643410852713178294573643410852713178294573643410852713178295,win,4.71470326598042953361291142457745583936967848519506925911805820307535900368534756639979671,0.176923075787815658789175775201686077023610388140309711574732003425781905170067692731619486,win,4.57755348042091014121265948738172245645939946976867607550598722782409215635103156824391583,137,93.5364881,0.317251911678832116788321167883211678832116788321167883211678832116788321167883211678832117,win,18.6104370695225559411271987555342826373100394878544932392006700969247337561325834629651789,stop,36000.0,False,False,129.99999982069238,107.0,Gurobi 150 min,Gurobi 150 min,0.176923075787815658789175775201686077023610388140309711574732003425781905170067692731619486,False,4.57755348042091014121265948738172245645939946976867607550598722782409215635103156824391580,win,win,tie,win,tie,win,loss,win,loss
supportcase22,5,110,110.0,1.4000000000000001,6.4,6.0,degree_completion_high12p5;degree_completion_high25;degree_completion_high50;degree_completion_high75;full_original_NoRel;full_original_RINS;full_original_diversification;full_original_primal_baseline;majority_defect_closure_d10;majority_defect_closure_d100;majority_defect_closure_d1000;majority_defect_closure_d25;majority_defect_closure_d50;majority_repair_full_dictionary;majority_repair_public_varying274;majority_repair_varying_plus_violation337;post_degree_full_original_NoRel;post_degree_full_original_RINS;post_repair_full_original_NoRel;post_repair_full_original_RINS;post_repair_full_original_diversification;weighted_boolean_repair_seed0;weighted_boolean_repair_seed1;weighted_boolean_repair_seed2;weighted_boolean_repair_seed3;weighted_boolean_repair_seed4;weighted_boolean_repair_seed5;weighted_boolean_repair_seed6;weighted_boolean_repair_seed7,fixed original baseline; objective-support lattice lifting; complete objective cutoffs; exact interval propagation with equality substitution; exhaustive 140-way 27/5-cost branch certificate; exact objective-support pattern shells,numerical,global_numerical_solver_cutoff_exclusion_plus_exact_objective_support,1e-06,1e-06,0.0,0.0,0.0,false,tie,False,tie,win,110.0,primal skill,6.4,dual skill Gurobi,[],0.941818181818181818181818181818181818181818181818181818181818181818181818181818181818181818,0.987272727272727271818181818181818181818181818181818181818181818181818181818181818181818182,win,4.54545454545454536363636363636363636363636363636363636363636363636363636363636363636363638,,win,,,0.88353308,,win,,stop,36000.0,True,True,,1.4000000000000001,,Gurobi 150 min,,True,,win,tie,win,tie,win,win,win,win,win
neos-3682128-sandon,5,34666770,34666770.0,21672926.242906883,34666770,34666770,sandon_active_penalty_two_hop;sandon_anonymous_block_00_one_hop;sandon_anonymous_block_01_one_hop;sandon_anonymous_block_02_one_hop;sandon_anonymous_block_03_one_hop;sandon_anonymous_block_04_one_hop;sandon_anonymous_block_05_one_hop;sandon_anonymous_block_06_one_hop;sandon_anonymous_block_07_one_hop;sandon_anonymous_block_08_one_hop;sandon_changed_y_two_hop;sandon_named_core_one_hop;sandon_public_difference_one_hop;sandon_public_equal_objective_difference;sandon_y_block_00_one_hop;sandon_y_block_01_one_hop;sandon_y_block_02_one_hop;sandon_y_block_03_one_hop;sandon_y_block_04_one_hop;sandon_y_block_05_one_hop;sandon_y_block_06_one_hop;sandon_y_block_07_one_hop;whole_core_diversification;whole_core_diversification_escape;whole_core_norel;whole_core_primal_baseline;whole_core_primal_escape;whole_core_rins;whole_core_rins_escape,objective-lattice rounding; exact setup and assignment relaxations; deadline/machine finite-state DP; sequence decomposition; forced machine-4 prefix; fixed-sequence aggregate start cuts,numerical,exact rational structural certificate and exhaustive finite-state DP with an independently exact-checked feasible original-MPS solution,1e-06,1e-06,0.0,0.0,0.0,true,tie,False,tie,win,34666770.0,primal skill; dual skill exact feasible lift,34666770,dual skill Gurobi,[],0,0.374821298814199217290794613977592951405625617846716033827206861210317546168852765919640047,win,37.4821298814199217290794613977592951405625617846716033827206861210317546168852765919640047,0.328818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,win,32.8818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,34666770,21531270.9,0.378907498448802700684257575770687606604249545025394635842912391318833568861477432134577291,win,37.8907498448802700684257575770687606604249545025394635842912391318833568861477432134577291,stop,36000.0,False,False,34666765.52061766,23267683.964423973,Gurobi 150 min,Gurobi 150 min,0.328818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,False,32.8818722629724840501373782477296470591383659665244880589343336206786279810927004141573079,win,tie,win,tie,win,loss,win,loss,win
