instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
comp12-2idx,Time selection and scheduling,True,True,not_explicitly_mapped_here,277,165 (solver),Feasible; global optimum open; prior radius-10 local result retained,not_in_project_primal_table,,,,,,,,,"Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The bit radius of 10 is closed. A one-hot category change counts as two bits and must not be misread as ten teaching periods.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/comp12-2idx/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
core2586-950,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,944 (strict),937 (solver),Exact set-cover reduction OPT = 87 + OPT(hard); 0.7415% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/core2586-950/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
core4284-1064,Support exchanges for covering and partitioning,True,True,named_case_or_family_expansion,1062,1055 (portable),Exact set-cover reduction and independently checked dual certificate; global optimum open,not_in_project_primal_table,,,,,,,,"Coverage of simple, valid dual and scope checks; removal of invalid packing boundaries","After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/core4284-1064/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
core4872-1529,Support exchanges for covering and partitioning,True,True,named_case_or_family_expansion,1530,932 (portable),Independently replayed disjoint-row-packing certificate; global optimum open,not_in_project_primal_table,,,,,,,,"Coverage of simple, valid dual and scope checks; removal of invalid packing boundaries","After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/core4872-1529/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cvrpa-n64k9vrpi,Routing with load or time potentials,True,True,not_explicitly_mapped_here,"1,401 (new strict incumbent)","1,401","Optimal, mixed database/computational evidence; exact MPS projection and rational 17+ bound, but no portable complete lower-bound trace",numeric_improvement,1617,1401,0,1401,1401,"Exact original-MPS projection plus external results, numerical exclusions, and exact certificates for larger fleet sizes",Mixed evidence supports 1401. The external fixed-9-vehicle computation and commercial exclusions were not fully rerun in this audit. Timeouts of plain K10/K11 runs neither prove infeasibility nor refute a different successful nonmerge run. Bounds from fixed-route lifting subproblems are not used as global proofs.,,"After recovering routes, construct assignments and routes first, then complete time, load, and indicator variables; transfer only checked data.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cvrpa-n64k9vrpi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cvrpb-n45k5vrpi,Routing with load or time potentials,True,True,not_explicitly_mapped_here,751 (new strict incumbent),751,"Optimal, mixed database/computational evidence; no portable exact lower-bound trace",numeric_improvement,775,751,0,751,751,Exact original-MPS projection plus an external fixed-fleet result and historical numerical exclusions,Accepted under a standard allowing external results and reasonable solver logs. The external fixed-5-vehicle computation and commercial searches for K>=6 were not rerun in this audit. The timed-out original-MPS COPT log on altman is not a successful exclusion; objective 0 in a cutoff feasibility model is not a routing lower bound.,,"After recovering routes, construct assignments and routes first, then complete time, load, and indicator variables; transfer only checked data.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cvrpb-n45k5vrpi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
cvrpp-n16k8vrpi,Routing with load or time potentials,True,True,named_case_or_family_expansion,450,450,"Optimal, exact dynamic program",not_in_project_primal_table,,,282.375839,450,,,,Find the small state map core and run out of DP; complete the enumeration with global boundaries,"After recovering routes, construct assignments and routes first, then complete time, load, and indicator variables; transfer only checked data.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/cvrpp-n16k8vrpi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
d20200,Grouped or multiple-choice decisions with coupled resources,True,True,not_explicitly_mapped_here,"12,237","12,232 solver; 12,230 independently exact",Custom tree incomplete: 33 pending subtrees; no new bound,not_in_project_primal_table,,,,,,,,,Build a conflict graph over the original coupling rows and jointly exchange complete categories; retain the effects of unselected variables.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/d20200/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dano3mip,Network design with continuous recourse,True,True,not_explicitly_mapped_here,664.020833333333,578.2171855753,Feasible; global optimum open,not_in_project_primal_table,,,,,,,,,"Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dano3mip/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
datt256,Finite-domain feasibility and covering repair,True,True,not_explicitly_mapped_here,no feasible point,local infeasibility certificates,Global feasibility open,not_in_project_primal_table,,,,,,,,,Preserve hard quotas or bounds and construct repairs from unsatisfied constraints; retain only a near-feasible label until every constraint is satisfied.,"The 470/480 puzzle is only near-feasible: ten mismatched edges correspond to twenty color-flow rows, so it cannot serve as a primal solution.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/datt256/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dfn-bwin-DBE,Network design with continuous recourse,True,True,named_case_or_family_expansion,"73,623.79","73,623.79","Optimal, exact spanning-tree DP and cost exclusion",not_in_project_primal_table,,,56406.0914,73623.79,,,,Find the small state map core and run out of DP; complete the enumeration with global boundaries,"Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dfn-bwin-DBE/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dws012-01,Network design with continuous recourse,True,True,not_explicitly_mapped_here,"82,030.5522222395466198 (1e-9 feasible)","44,641.72316928 (solver)",Fixed-design recourse optimum and exact projection blueprint; 45.5792% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,"Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dws012-01/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
dws012-02,Network design with continuous recourse,True,True,named_case_or_family_expansion,119443.31072434435 (new strict incumbent),23459.58492171858,Sibling-design transplant improves MIPLIB v36 by 449.99998531942; global optimum open,numeric_improvement,119893.31070966377,119443.31072434435,,,,,,"Denial of false decomposition without private variables, then repair as a brother design migration and recourse","Transfer a verifiable design; jointly release capacity, routing, and operating choices, then re-solve the continuous recourse.",Only one pair of choices changes among 264 design positions. The 395 DEC subblocks have no private variables and cannot be treated as independent recourse problems.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/dws012-02/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
eva1aprime5x5opt,Component selection and mechanical recourse,True,True,not_explicitly_mapped_here,-17.94807560443689 (strict),-458.919072061,Feasible; no 1e-6 improvement within bit radius 8; global optimum open,not_in_project_primal_table,,,,,,,,,Search joint selections beyond the closed member radius; verify them with equilibrium/displacement LPs.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/eva1aprime5x5opt/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ex1010-pi,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,233,224 solver,Exact kernelization; global optimum open,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ex1010-pi/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
f2000,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,"1,810","1,332 root",Feasible minimum-prime-implicant witness; global optimum open,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/f2000/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fastxgemm-n3r21s3t6,Bilinear tensors and support patterns,True,True,named_case_or_family_expansion,"2,147 (external-derived; strictly verified)",93,"Strict interval [93,2147]; LB is our proof, UB is excluded from our primal count; global optimum open",external_or_external_derived,,,84,**93**,,,,"Rank/orbit is not variable, finite exclusion and local search boundaries; relaxation witness cannot be used as a complete quantity decomposition",First verify every tensor equality in the external construction; new searches should change the support or orbit and avoid rescanning fixed coefficient patterns.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fastxgemm-n3r21s3t6/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fastxgemm-n3r22s4t6,Bilinear tensors and support patterns,True,True,named_case_or_family_expansion,"1,150 (external-derived; strictly verified)",90,"Strict interval [90,1150]; LB is our proof, UB is excluded from our primal count; global optimum open",external_or_external_derived,,,,,,,,"Rank/orbit is not variable, finite exclusion and local search boundaries; relaxation witness cannot be used as a complete quantity decomposition",First verify every tensor equality in the external construction; new searches should change the support or orbit and avoid rescanning fixed coefficient patterns.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fastxgemm-n3r22s4t6/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fastxgemm-n3r23s5t6,Bilinear tensors and support patterns,True,True,named_case_or_family_expansion,153 (BILR 2018; strictly verified),90,"Strict interval [90,153]; LB is our proof, UB is excluded from our primal count; global optimum open",external_or_external_derived,,,,,,,,"Rank/orbit is not variable, finite exclusion and local search boundaries; relaxation witness cannot be used as a complete quantity decomposition",First verify every tensor equality in the external construction; new searches should change the support or orbit and avoid rescanning fixed coefficient patterns.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fastxgemm-n3r23s5t6/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binpack4-58,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,—,geometric contradiction,"Infeasible, exact certificate",not_in_project_primal_table,,,,,,,,,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binpack4-58/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binschedule0,Time selection and scheduling,True,True,named_case_or_family_expansion,"15,958","15,958","Optimal, exact interval-order path-cover certificate",numeric_improvement,16088,15958,15642,15958,,,,"Endpoint spacing sequence, matching /path cover with load lattice; boundary separation with full witness","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binschedule0/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binschedule1,Time selection and scheduling,True,True,named_case_or_family_expansion,"55,158","55,158","Optimal, exact interval-order path-cover certificate",numeric_improvement,55198,55158,52153,55158,,,,"Endpoint spacing sequence, matching /path cover with load lattice; boundary separation with full witness","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binschedule1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-binschedule2,Time selection and scheduling,True,True,named_case_or_family_expansion,"2,428","2,428","Optimal, exact endpoint clique/parity certificate",not_in_project_primal_table,,,2273.5,2428,,,,"Endpoint spacing sequence, matching /path cover with load lattice; boundary separation with full witness","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-binschedule2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-paira100,Time selection and scheduling,True,True,named_case_or_family_expansion,-15.113116512593402 (strict),-15.113116512593402 (Gurobi + audited valid cuts),"Computational optimum; official lower headline is nonintegral, so no numerical primal improvement is claimed",not_in_project_primal_table,,,-23.8016842,-15.113116512593402,-15.113116512593401992,Local exact branch-dual certificate plus an exact original-MPS feasible solution,Adopt the exactly certified value for the literal coefficients of this original MPS. The final proof does not depend on the retracted old energy cuts or floating-point D_safe. The exact tree certificate was completed later and is not presented as a replay of the old search trajectory.,"Extract selection Nuclear, derive security conflict/energy constraint, then independently construct the original space schedule; last start is not equal to deadline","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-paira100/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-paira200,Time selection and scheduling,True,True,named_case_or_family_expansion,-19.369961204645204 (new strict incumbent),-19.369961204645204 (Gurobi + audited valid cuts),Computational optimum; independent rerun and original-MPS audit,numeric_improvement,-19.2298568218154,-19.369961204645204,-46.9081453,-19.369961204645204,-19.36996120464520581,Local exact branch-dual certificate plus an exact original-MPS feasible solution,"Adopt the certified value. The last digits of the old headline were too high, so that literal decimal cannot be reinstated as a rigorous lower bound. The final proof does not depend on the retracted old energy cuts or floating-point D_safe. The exact tree certificate was completed later and is not presented as a replay of the old search trajectory.","Extract selection Nuclear, derive security conflict/energy constraint, then independently construct the original space schedule; last start is not equal to deadline","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-paira200/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-paira400,Time selection and scheduling,True,True,named_case_or_family_expansion,-36.27696674236886 (new strict incumbent),-36.27696674236886 (safe suffix master),Computational optimum; two master runs and Pair-A/Pair-B full-row audits,numeric_improvement,-35.54680465280395,-36.27696674236886,-95.8844179,-36.27696674236886,-36.276966742368865136,Local exact branch-dual certificate plus an exact original-MPS feasible solution,"Adopt the certified value. The last digits of the old headline were too high, so that literal decimal cannot be reinstated as a rigorous lower bound. The final proof does not depend on the retracted old energy cuts or floating-point D_safe. The exact tree certificate was completed later and is not presented as a replay of the old search trajectory.","Extract selection Nuclear, derive security conflict/energy constraint, then independently construct the original space schedule; last start is not equal to deadline","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-paira400/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-pairb200,Time selection and scheduling,True,True,named_case_or_family_expansion,-19.3699612046452058100 (new strict incumbent),-19.3699612046452058100 (Gurobi + audited valid cuts),"Computational optimum; independent rerun and Pair-A cross-check, no portable formal lower-bound proof",numeric_improvement,-19.24094384259708,-19.3699612046452058100,-51.5610835,-19.3699612046452058100,-19.36996120464520581,Local exact branch-dual certificate plus an exact original-MPS feasible solution,Adopt the exactly certified value for the literal coefficients of this original MPS. The final proof does not depend on the retracted old energy cuts or floating-point D_safe. The exact tree certificate was completed later and is not presented as a replay of the old search trajectory.,"Extract selection Nuclear, derive security conflict/energy constraint, then independently construct the original space schedule; last start is not equal to deadline","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-pairb200/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
fhnw-schedule-pairb400,Time selection and scheduling,True,True,named_case_or_family_expansion,-36.27696674236886 (new strict incumbent),-36.27696674236886 (independent safe suffix master),"Computational optimum; two safe runs, cross-formulation audit, invalid old cuts explicitly rejected",numeric_improvement,-35.4584,-36.27696674236886,-98.8384308,-36.27696674236886,-36.276966742368865136,Local exact branch-dual certificate plus an exact original-MPS feasible solution,"Adopt the certified value. The last digits of the old headline were too high, so that literal decimal cannot be reinstated as a rigorous lower bound. The final proof does not depend on the retracted old energy cuts or floating-point D_safe. The exact tree certificate was completed later and is not presented as a replay of the old search trajectory.","Extract selection Nuclear, derive security conflict/energy constraint, then independently construct the original space schedule; last start is not equal to deadline","Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/fhnw-schedule-pairb400/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-g31-8,Graph embeddings and rotation systems,True,True,not_explicitly_mapped_here,-23 (genus 3),-23 exhaustive result,"Optimal, same graph and exact exhaustive result; no standalone proof trace",not_in_project_primal_table,,,-27,-23,,,,,Construct new witnesses on compact rotation/face states; distinguish equivalent face labels from genuine topological changes.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-g31-8/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
genus-g61-25,Graph embeddings and rotation systems,True,True,not_explicitly_mapped_here,-40 (genus 10; MPS tolerance 1e-6),-42 (exact; genus ≥9),Complete 44-face exclusion; 42-face target unresolved,not_in_project_primal_table,,,-58,-42,,,,,Construct new witnesses on compact rotation/face states; distinguish equivalent face labels from genuine topological changes.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/genus-g61-25/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
